query,course_id,course_name,relevance_grade,explanation,confidence,judgment_source
advanced Python automation,1784,Rust Programming,2,skills matches=1; description matches=3,0.85,AI-assisted
advanced Python automation,1906,Software Defined Networking (SDN),2,skills matches=1; description matches=3,0.85,AI-assisted
advanced Python automation,13371,Advanced Automation Frameworks and Continuous Integration,3,title matches=2; skills matches=3; description matches=3; level match=Advanced,0.95,AI-assisted
advanced Python automation,7855,Python for Serverless Applications and Automation on AWS,3,title matches=2; skills matches=2; description matches=2,0.95,AI-assisted
advanced Python automation,9166,Juniper Networks Automation Using Python and PyEZ,3,title matches=2; skills matches=2; description matches=2,0.95,AI-assisted
advanced Python automation,13517,Advanced Selenium WebDriver and Test Automation,3,title matches=2; skills matches=2; description matches=2,0.95,AI-assisted
advanced Python automation,16391,Google IT Automation with Python,3,title matches=2; skills matches=2,0.95,AI-assisted
advanced Python automation,24360,Automation and Scripting with Python,3,title matches=2; skills matches=2,0.95,AI-assisted
Python data analysis with pandas,7325,Data Analysis with Pandas and Python,3,title matches=5,0.95,AI-assisted
Python data analysis with pandas,21775,Complete Data Analysis with Pandas : Hands-on Pandas Python,3,title matches=5,0.95,AI-assisted
Python data analysis with pandas,19341,Pandas Masterclass 2022: Advanced Data Analysis with Pandas,3,title matches=4,0.95,AI-assisted
Python data analysis with pandas,16693,Python for Data Science and AI,3,title matches=2; skills matches=4,0.95,AI-assisted
Python data analysis with pandas,18542,Pandas with Python for Data Science,3,title matches=4,0.95,AI-assisted
Python data analysis with pandas,19020,Python for Data Science and Data Analysis,3,title matches=3,0.95,AI-assisted
Python data analysis with pandas,205,Python for Data Science,3,title matches=2; skills matches=4; subject matches=2; description matches=5,0.95,AI-assisted
Python data analysis with pandas,227,Analyzing Data with Python,3,title matches=3; skills matches=4; subject matches=2; description matches=5,0.95,AI-assisted
Python data analysis with pandas,327,Introduction to Data Science with Python,3,title matches=3; skills matches=4; subject matches=2; description matches=4,0.95,AI-assisted
Python data analysis with pandas,332,Python Basics for Data Science,3,title matches=2; skills matches=3; subject matches=2; description matches=5,0.95,AI-assisted
Python data analysis with pandas,398,Applied Data Science with Python Specialization,3,title matches=3; subject matches=2; description matches=4,0.95,AI-assisted
Python data analysis with pandas,474,Data Engineering Fundamentals,3,title matches=1; skills matches=3; subject matches=2; description matches=5,0.95,AI-assisted
Python data analysis with pandas,6738,Foundations of Data Analysis with Pandas and Python,3,title matches=5; skills matches=4; description matches=5,0.95,AI-assisted
Python data analysis with pandas,7064,Exploratory Data Analysis With Python and Pandas,3,title matches=5; skills matches=4; description matches=5,0.95,AI-assisted
Python data analysis with pandas,6496,Data Analysis in Python: Using Pandas DataFrames,3,title matches=4; skills matches=4; subject matches=1; description matches=5,0.95,AI-assisted
Python data analysis with pandas,3869,Mastering Data Analysis with Pandas,3,title matches=4; skills matches=4; description matches=5,0.95,AI-assisted
Python data analysis with pandas,45,Los bits y bytes de las redes informáticas,0,No strong topical match found.,0.45,AI-assisted
Python data analysis with pandas,50,The Bits and Bytes of Computer Networking,0,No strong topical match found.,0.45,AI-assisted
machine learning with Python,7463,Bayesian Machine Learning in Python: A/B Testing,3,title matches=3,0.95,AI-assisted
machine learning with Python,18582,Fundamentals of Machine Learning with Python Implementation.,3,title matches=4,0.95,AI-assisted
machine learning with Python,19263,Data Science A-Z : Machine Learning with Python & R,3,title matches=4,0.95,AI-assisted
machine learning with Python,20500,Machine Learning with Python from Scratch,3,title matches=4,0.95,AI-assisted
machine learning with Python,22946,Machine Learning & Deep Learning in Python & R,3,title matches=3,0.95,AI-assisted
machine learning with Python,20125,Clustering & Classification With Machine Learning In Python,3,title matches=4,0.95,AI-assisted
machine learning with Python,88,Statistical Learning with Python,3,title matches=3; skills matches=3; description matches=4,0.95,AI-assisted
machine learning with Python,100,Machine Learning with Python: A Practical Introduction,3,title matches=4; skills matches=3; description matches=4,0.95,AI-assisted
machine learning with Python,124,SQL for Data Science,3,skills matches=3; description matches=4,0.95,AI-assisted
machine learning with Python,154,Statistical Learning with R,3,title matches=2; skills matches=3; description matches=4,0.95,AI-assisted
machine learning with Python,205,Python for Data Science,3,title matches=1; skills matches=1; description matches=4,0.95,AI-assisted
machine learning with Python,227,Analyzing Data with Python,3,title matches=2; skills matches=3; description matches=4,0.95,AI-assisted
machine learning with Python,653,Machine learning with Python for finance professionals,3,title matches=4; skills matches=3; description matches=4,0.95,AI-assisted
machine learning with Python,4980,Machine Learning for Accounting with Python,3,title matches=4; skills matches=3; description matches=4,0.95,AI-assisted
machine learning with Python,5784,Build a Machine Learning Web App with Streamlit and Python,3,title matches=4; skills matches=3; description matches=4,0.95,AI-assisted
machine learning with Python,8745,Machine Learning: Random Forest with Python from Scratch©,3,title matches=4; skills matches=3; description matches=4,0.95,AI-assisted
machine learning with Python,24243,Machine Learning: Theory and Hands-on Practice with Python,3,title matches=4; skills matches=3,0.95,AI-assisted
machine learning with Python,42,IBM DevOps and Software Engineering Professional Certificate,0,No strong topical match found.,0.45,AI-assisted
deep learning with TensorFlow,22593,Deep Learning with TensorFlow 2.0 [2022],3,title matches=4,0.95,AI-assisted
deep learning with TensorFlow,19950,Deep Learning with TensorFlow,3,title matches=4,0.95,AI-assisted
deep learning with TensorFlow,19448,TensorFlow 101: Introduction to Deep Learning,3,title matches=3,0.95,AI-assisted
deep learning with TensorFlow,20495,TensorFlow and the Google Cloud ML Engine for Deep Learning,3,title matches=3,0.95,AI-assisted
deep learning with TensorFlow,20981,Tensorflow and Keras For Neural Networks and Deep Learning,3,title matches=3,0.95,AI-assisted
deep learning with TensorFlow,18391,Machine Learning & Tensorflow - Google Cloud Approach,2,title matches=2,0.93,AI-assisted
deep learning with TensorFlow,396,AI Fundamentals for Non-Data Scientists,3,skills matches=3; description matches=4,0.95,AI-assisted
deep learning with TensorFlow,491,Deploying TinyML,3,skills matches=3; description matches=4,0.95,AI-assisted
deep learning with TensorFlow,583,Tiny Machine Learning (TinyML),3,title matches=1; skills matches=3; description matches=4,0.95,AI-assisted
deep learning with TensorFlow,644,Deep Learning,3,title matches=2; skills matches=3; description matches=4,0.95,AI-assisted
deep learning with TensorFlow,659,Deep Learning with TensorFlow,3,title matches=4; skills matches=3; description matches=4,0.95,AI-assisted
deep learning with TensorFlow,955,Machine Learning at the Edge on Arm: A Practical Introduction,3,title matches=1; skills matches=2; description matches=4,0.95,AI-assisted
deep learning with TensorFlow,2293,Probabilistic Deep Learning with TensorFlow 2,3,title matches=4; skills matches=3; description matches=4,0.95,AI-assisted
deep learning with TensorFlow,16461,Deep Learning - Artificial Neural Networks with TensorFlow,3,title matches=4; skills matches=3; description matches=4,0.95,AI-assisted
deep learning with TensorFlow,16484,Deep Learning: Convolutional Neural Networks with TensorFlow,3,title matches=4; skills matches=3; description matches=4,0.95,AI-assisted
deep learning with TensorFlow,23442,Building Deep Learning Models with TensorFlow,3,title matches=4; skills matches=3,0.95,AI-assisted
deep learning with TensorFlow,24272,"IBM Deep Learning with PyTorch, Keras and Tensorflow",3,title matches=4; skills matches=3,0.95,AI-assisted
deep learning with TensorFlow,40,Technical Support Fundamentals,0,No strong topical match found.,0.45,AI-assisted
data science with visualization,20732,What is Data Science?,2,title matches=2,0.93,AI-assisted
data science with visualization,21062,The Data Science MicroDegree: Data Analysis & Visualization,3,title matches=3,0.95,AI-assisted
data science with visualization,22635,Careers in Data Science A-Z™,2,title matches=2,0.93,AI-assisted
data science with visualization,18955,Data science with R: tidyverse,3,title matches=3,0.95,AI-assisted
data science with visualization,18831,Data Science:Hands-on Covid-19 Data Analysis & Visualization,3,title matches=3,0.95,AI-assisted
data science with visualization,20544,SQL for Tech and Data Science Interviews,2,title matches=2,0.93,AI-assisted
data science with visualization,66,Applied Data Analysis and Visualisation for Business,3,title matches=1; skills matches=3; subject matches=1; description matches=3,0.95,AI-assisted
data science with visualization,108,High-Dimensional Data Analysis,3,title matches=1; skills matches=3; subject matches=2; description matches=4,0.95,AI-assisted
data science with visualization,181,CS50's Introduction to Programming with R,3,title matches=1; skills matches=2; subject matches=2; description matches=4,0.95,AI-assisted
data science with visualization,186,Linear Algebra - Foundations to Frontiers,3,skills matches=1; subject matches=1; description matches=4,0.95,AI-assisted
data science with visualization,205,Python for Data Science,3,title matches=2; skills matches=3; subject matches=2; description matches=3,0.95,AI-assisted
data science with visualization,214,Supply Chain Technology and Systems,2,skills matches=2; description matches=3,0.95,AI-assisted
data science with visualization,327,Introduction to Data Science with Python,3,title matches=3; skills matches=3; subject matches=2; description matches=3,0.95,AI-assisted
data science with visualization,351,Data Science: Visualization,3,title matches=3; skills matches=3; subject matches=2; description matches=4,0.95,AI-assisted
data science with visualization,402,Data Analytics and Visualization with Excel and R,3,title matches=3; skills matches=3; subject matches=1; description matches=4,0.95,AI-assisted
data science with visualization,635,Applied Data Science with R,3,title matches=3; skills matches=3; subject matches=1; description matches=4,0.95,AI-assisted
data science with visualization,6566,Data Visualization with Tableau,3,title matches=3; skills matches=2; subject matches=2; description matches=3,0.95,AI-assisted
data science with visualization,128,Data Science: Capstone,3,title matches=2; skills matches=3; subject matches=2; description matches=3,0.95,AI-assisted
exploratory data analysis for beginners,23693,Practical Data Science on the AWS Cloud,3,title matches=1; skills matches=3; level match=Beginner,0.95,AI-assisted
exploratory data analysis for beginners,23427,Analyze Datasets and Train ML Models using AutoML,3,title matches=1; skills matches=3,0.95,AI-assisted
exploratory data analysis for beginners,23323,Executive Data Science,3,title matches=1; skills matches=3; subject matches=1; level match=Beginner,0.95,AI-assisted
exploratory data analysis for beginners,19418,Fortran For Beginners,2,title matches=2; level match=Beginner,0.95,AI-assisted
exploratory data analysis for beginners,21626,Elixir for Beginners,2,title matches=2; level match=Beginner,0.95,AI-assisted
exploratory data analysis for beginners,15401,Conducting Exploratory Data Analysis,3,title matches=3; skills matches=2; description matches=3,0.95,AI-assisted
exploratory data analysis for beginners,15697,Use Tableau for your Data Science Workflow,3,title matches=2; skills matches=4; description matches=4; level match=Beginner,0.95,AI-assisted
exploratory data analysis for beginners,15735,"Fundamentals of AI, Machine Learning, and Python Programming",2,description matches=5; level match=Beginner,0.93,AI-assisted
exploratory data analysis for beginners,242,Case Studies in Functional Genomics,3,skills matches=4; subject matches=2; description matches=4,0.95,AI-assisted
exploratory data analysis for beginners,332,Python Basics for Data Science,3,title matches=2; skills matches=3; subject matches=2; description matches=4,0.95,AI-assisted
exploratory data analysis for beginners,338,Excel for Beginners,3,title matches=2; skills matches=3; subject matches=2; description matches=2,0.95,AI-assisted
exploratory data analysis for beginners,348,Statistics and R,3,skills matches=3; subject matches=2; description matches=4,0.95,AI-assisted
exploratory data analysis for beginners,7066,Exploratory Data Analysis for Machine Learning,3,title matches=4; skills matches=3; subject matches=1; description matches=4,0.95,AI-assisted
exploratory data analysis for beginners,21709,Perform exploratory data analysis on retail data with Python,3,title matches=4; skills matches=3; subject matches=1; description matches=3,0.95,AI-assisted
exploratory data analysis for beginners,178,Excel for Everyone: Data Analysis Fundamentals,3,title matches=3; skills matches=3; subject matches=2; description matches=3,0.95,AI-assisted
exploratory data analysis for beginners,430,Data Analysis for Life Sciences,3,title matches=3; skills matches=3; subject matches=2; description matches=3,0.95,AI-assisted
exploratory data analysis for beginners,1240,Data Analysis for Management,3,title matches=3; skills matches=3; subject matches=2; description matches=3,0.95,AI-assisted
exploratory data analysis for beginners,1599,Data Analysis for Genomics,3,title matches=3; skills matches=3; subject matches=2; description matches=3,0.95,AI-assisted
web development with JavaScript,19455,Web Development And Javascript Bootcamp,3,title matches=3,0.95,AI-assisted
web development with JavaScript,18691,JavaScript: Learn Front End Web Development,3,title matches=3,0.95,AI-assisted
web development with JavaScript,21294,Full JavaScript Masterclass Course: ES6 Modern Development,2,title matches=2,0.93,AI-assisted
web development with JavaScript,21822,JavaScript Complete Beginners Course For Web Development,3,title matches=3,0.95,AI-assisted
web development with JavaScript,9588,JavaScript: Understanding the Weird Parts,2,title matches=1; subject matches=2,0.95,AI-assisted
web development with JavaScript,10386,JavaScript Tutorial,2,title matches=1; subject matches=2,0.95,AI-assisted
web development with JavaScript,78,Web Design for Everybody: Basics of Web Development & Coding Specialization,3,title matches=2; subject matches=2; description matches=3,0.95,AI-assisted
web development with JavaScript,82,"HTML, CSS, and Javascript for Web Developers",3,title matches=2; subject matches=2; description matches=2,0.95,AI-assisted
web development with JavaScript,149,Developing Front End Apps with React,3,title matches=1; skills matches=3; description matches=4,0.95,AI-assisted
web development with JavaScript,194,Full Stack Application Development Project,3,title matches=1; skills matches=3; description matches=4,0.95,AI-assisted
web development with JavaScript,283,Back-end Application Development with Node.js and Express,3,title matches=2; skills matches=3; description matches=3,0.95,AI-assisted
web development with JavaScript,305,CS50's Introduction to Computer Science,3,skills matches=3; description matches=4,0.95,AI-assisted
web development with JavaScript,358,"Introduction to Web Development with HTML5, CSS3, and JavaScript.",3,title matches=4; skills matches=3; description matches=4,0.95,AI-assisted
web development with JavaScript,2656,"Introduction to Web Development with HTML, CSS, JavaScript",3,title matches=4; skills matches=3; description matches=4,0.95,AI-assisted
web development with JavaScript,3604,Web Application Development with JavaScript and MongoDB,3,title matches=4; skills matches=3; description matches=4,0.95,AI-assisted
web development with JavaScript,24299,Web Application Development with JavaScript and MongoDB,3,title matches=4; skills matches=3,0.95,AI-assisted
web development with JavaScript,456,"Programming Foundations with JavaScript, HTML and CSS",3,title matches=2; skills matches=3; subject matches=2; description matches=3,0.95,AI-assisted
web development with JavaScript,9446,"Complete Web Development with HTML, CSS and Javascript",3,title matches=4; subject matches=2,0.95,AI-assisted
React front-end development,22619,CSS - Basics to Adv for front end development [2022],3,title matches=3,0.95,AI-assisted
React front-end development,7966,Learn Elementor - WordPress Front-End Development Course,3,title matches=3,0.95,AI-assisted
React front-end development,22534,React For The Rest Of Us,1,title matches=1,0.69,AI-assisted
React front-end development,19907,Complete back end development with NodeJS with projects,2,title matches=2,0.93,AI-assisted
React front-end development,23011,NestJS Zero to Hero - Modern TypeScript Back-end Development,2,title matches=2,0.93,AI-assisted
React front-end development,9420,React for visual learners,2,title matches=1; subject matches=1,0.85,AI-assisted
React front-end development,149,Developing Front End Apps with React,3,title matches=3; skills matches=4; description matches=4,0.95,AI-assisted
React front-end development,194,Full Stack Application Development Project,3,title matches=1; skills matches=3; description matches=4,0.95,AI-assisted
React front-end development,283,Back-end Application Development with Node.js and Express,3,title matches=2; skills matches=4; description matches=1,0.95,AI-assisted
React front-end development,496,Operating Systems and Security,2,description matches=4,0.77,AI-assisted
React front-end development,1477,Full Stack Application Development,3,title matches=1; skills matches=4; description matches=4,0.95,AI-assisted
React front-end development,1478,Full Stack Developer,3,skills matches=4; description matches=4,0.95,AI-assisted
React front-end development,15996,Frontend Development with React,3,title matches=4; skills matches=4; description matches=4,0.95,AI-assisted
React front-end development,2884,Introduction to Front-End Development,3,title matches=3; skills matches=4; description matches=4,0.95,AI-assisted
React front-end development,6416,Front-End Development Capstone Project,3,title matches=3; skills matches=4; description matches=3,0.95,AI-assisted
React front-end development,6731,Developing Front-End Apps with React,3,title matches=3; skills matches=4; description matches=4,0.95,AI-assisted
React front-end development,3078,Intermediate Web and Front-End Development,3,title matches=3; skills matches=3; description matches=3,0.95,AI-assisted
React front-end development,28,Computer Security and Systems Management Specialization,0,No strong topical match found.,0.45,AI-assisted
mobile app development with Flutter,21432,Mobile App Development with PhoneGap,3,title matches=4,0.95,AI-assisted
mobile app development with Flutter,19581,Mobile App Development with Flutter & Dart (iOS and Android),3,title matches=5,0.95,AI-assisted
mobile app development with Flutter,21107,React native Expo for multiplatform mobile app development,3,title matches=3,0.95,AI-assisted
mobile app development with Flutter,20073,"Mobile App Development for Beginners (Swift 3, iPhone iOS10)",3,title matches=3,0.95,AI-assisted
mobile app development with Flutter,24580,Full Stack Web and Multiplatform Mobile App Development,3,title matches=3,0.95,AI-assisted
mobile app development with Flutter,18975,Mobile App Testing: Key Instruments and Practices,2,title matches=2,0.93,AI-assisted
mobile app development with Flutter,2800,Introduction to Mobile App Development,3,title matches=3; skills matches=3; description matches=5,0.95,AI-assisted
mobile app development with Flutter,3504,Getting started with Flutter Development,3,title matches=3; skills matches=4; description matches=3,0.95,AI-assisted
mobile app development with Flutter,6909,"Flutter and Dart: Developing iOS, Android, and Mobile Apps",3,title matches=3; skills matches=2; description matches=4,0.95,AI-assisted
mobile app development with Flutter,8519,"Mobile App Notifications, Databases, & Publishing",3,title matches=2; skills matches=4; description matches=5,0.95,AI-assisted
mobile app development with Flutter,8520,Mobile App Development Capstone Project,3,title matches=3; skills matches=4; description matches=5,0.95,AI-assisted
mobile app development with Flutter,10220,Implementing Page Navigation in a Flutter Application,3,title matches=2; skills matches=4; description matches=3,0.95,AI-assisted
mobile app development with Flutter,24215,Developing Mobile Apps with Flutter,3,title matches=4; skills matches=4,0.95,AI-assisted
mobile app development with Flutter,15387,Working with Onscreen Data in a Flutter Application,3,title matches=3; skills matches=4; description matches=2,0.95,AI-assisted
mobile app development with Flutter,24204,Developing Mobile Apps with React Native,3,title matches=3; skills matches=4,0.95,AI-assisted
mobile app development with Flutter,2658,Introduction to iOS App Development with Swift 5,3,title matches=3; skills matches=3; description matches=3,0.95,AI-assisted
mobile app development with Flutter,43,Crash Course on Python,0,No strong topical match found.,0.45,AI-assisted
mobile app development with Flutter,46,Estrutura e Funcionamento das Redes de Computadores,0,No strong topical match found.,0.45,AI-assisted
Android app development with Kotlin,20821,Android App Development with Kotlin | Beginner to Advanced,3,title matches=5,0.95,AI-assisted
Android app development with Kotlin,19026,Android App Development with Kotlin - Learn Best Skill 2022+,3,title matches=5,0.95,AI-assisted
Android app development with Kotlin,20872,State of the Art Android App Development in Kotlin 2022,3,title matches=4,0.95,AI-assisted
Android app development with Kotlin,19521,Intermediate Android Development and Kotlin,3,title matches=3,0.95,AI-assisted
Android app development with Kotlin,21372,Modern Android App Development Bootcamp With Kotlin 2020,3,title matches=5,0.95,AI-assisted
Android app development with Kotlin,19966,Android P& Kotlin -Complete Android App Development Bootcamp,3,title matches=4,0.95,AI-assisted
Android app development with Kotlin,2366,Working with Data in Android,3,title matches=2; skills matches=4; description matches=5,0.95,AI-assisted
Android app development with Kotlin,2580,Kotlin for Java Developers,3,title matches=1; skills matches=2; description matches=5,0.95,AI-assisted
Android app development with Kotlin,2800,Introduction to Mobile App Development,3,title matches=2; skills matches=3; description matches=5,0.95,AI-assisted
Android app development with Kotlin,5504,Android App Capstone,3,title matches=2; skills matches=2; description matches=4,0.95,AI-assisted
Android app development with Kotlin,6349,Create the User Interface in Android Studio,3,title matches=1; skills matches=2; description matches=5,0.95,AI-assisted
Android app development with Kotlin,13482,Advanced Programming in Kotlin,3,title matches=1; skills matches=4; description matches=5,0.95,AI-assisted
Android app development with Kotlin,3551,Get Started with Android App Development,3,title matches=4; skills matches=2; description matches=4,0.95,AI-assisted
Android app development with Kotlin,2992,Introduction to Android Mobile Application Development,3,title matches=3; skills matches=3; description matches=3,0.95,AI-assisted
Android app development with Kotlin,13398,Advanced App Development in Android Capstone,3,title matches=3; skills matches=3; description matches=4,0.95,AI-assisted
Android app development with Kotlin,16670,Developing Android Apps with App Inventor,3,title matches=3; skills matches=3; description matches=3,0.95,AI-assisted
Android app development with Kotlin,18785,Kotlin for Android Development : Develop an App with Kotlin,3,title matches=5,0.95,AI-assisted
Android app development with Kotlin,43,Crash Course on Python,0,No strong topical match found.,0.45,AI-assisted
cybersecurity and ethical hacking,23090,Learn Python & Ethical Hacking From Scratch,2,title matches=2,0.93,AI-assisted
cybersecurity and ethical hacking,8042,Build Undetectable Malware Using C Language: Ethical Hacking,2,title matches=2,0.93,AI-assisted
cybersecurity and ethical hacking,10862,The Complete Ethical Hacking Course 2.0: Python & Kali Linux,2,title matches=2,0.93,AI-assisted
cybersecurity and ethical hacking,20130,Hacking the Bootcamp,1,title matches=1,0.69,AI-assisted
cybersecurity and ethical hacking,7024,Ethical Hacking Fundamentals,3,title matches=2; skills matches=2; description matches=4,0.95,AI-assisted
cybersecurity and ethical hacking,17532,Ethical Hacking,2,title matches=2,0.93,AI-assisted
cybersecurity and ethical hacking,322,CS50's Introduction to Cybersecurity,3,title matches=1; skills matches=2; description matches=4,0.95,AI-assisted
cybersecurity and ethical hacking,690,Introducción a la ciberseguridad,3,skills matches=4; description matches=2,0.95,AI-assisted
cybersecurity and ethical hacking,1584,Cybersecurity Essentials,3,title matches=1; skills matches=4; description matches=4,0.95,AI-assisted
cybersecurity and ethical hacking,2582,Kali Linux,3,skills matches=2; description matches=4,0.95,AI-assisted
cybersecurity and ethical hacking,2840,Introduction to IT Security,2,skills matches=2; description matches=3,0.95,AI-assisted
cybersecurity and ethical hacking,4348,Technical Deep Dive with Incident Response Tools,2,description matches=4,0.77,AI-assisted
cybersecurity and ethical hacking,7023,Ethical Hacking Foundations,3,title matches=2; skills matches=4; description matches=4,0.95,AI-assisted
cybersecurity and ethical hacking,10004,Intermediate Ethical Hacking Hands-on Training,3,title matches=3; skills matches=1; description matches=3,0.95,AI-assisted
cybersecurity and ethical hacking,361,Cybersecurity Basics: Tools and Cyberattacks,3,title matches=2; skills matches=2; description matches=2,0.95,AI-assisted
cybersecurity and ethical hacking,557,Cybersecurity Compliance and Framework,3,title matches=2; skills matches=2; description matches=3,0.95,AI-assisted
cybersecurity and ethical hacking,1337,Cybersecurity Risk and Strategy,3,title matches=2; skills matches=2; description matches=2,0.95,AI-assisted
cybersecurity and ethical hacking,1349,البدء باستخدام برنامج packet tracer,0,No strong topical match found.,0.45,AI-assisted
network security certification,20310,Flowgear Technical Certification,1,title matches=1,0.69,AI-assisted
network security certification,19714,Introduction to Docker and the DCA Certification,1,title matches=1,0.69,AI-assisted
network security certification,17178,Enhanced Network Security Approach on Google Cloud,3,title matches=2; skills matches=2; description matches=2,0.95,AI-assisted
network security certification,23736,Cybersecurity Fundamentals,2,title matches=1; skills matches=2,0.95,AI-assisted
network security certification,22088,Kubernetes On The Cloud & The CNCF CKA Certification,1,title matches=1,0.69,AI-assisted
network security certification,23652,CompTIA a+_ network,2,title matches=1; skills matches=2,0.95,AI-assisted
network security certification,37,Oracle Cloud Infrastructure Foundations,2,skills matches=2; description matches=3; certification match=Shareable Certificate,0.95,AI-assisted
network security certification,202,AWS Cloud Practitioner Essentials,2,description matches=3; certification match=Unknown,0.77,AI-assisted
network security certification,890,IT Support Case Studies,1,description matches=3,0.69,AI-assisted
network security certification,1361,Ethical Hacking Essentials (EHE),1,description matches=3,0.69,AI-assisted
network security certification,1397,Digital Forensics Essentials (DFE),1,description matches=3,0.69,AI-assisted
network security certification,1399,Network Defense Essentials (NDE),2,title matches=1; description matches=3,0.93,AI-assisted
network security certification,64,Fundamentals of Computer Network Security Specialization,3,title matches=2; subject matches=2; description matches=2; certification match=Shareable Certificate,0.95,AI-assisted
network security certification,638,Network Security,3,title matches=2; skills matches=2; description matches=2,0.95,AI-assisted
network security certification,2185,Networking and Security in iOS Applications,3,title matches=2; skills matches=2; description matches=2; certification match=Unknown,0.95,AI-assisted
network security certification,2188,Networking and Security Architecture with VMware NSX,3,title matches=2; skills matches=2; description matches=3; certification match=COURSE,0.95,AI-assisted
network security certification,2216,Network Security,3,title matches=2; skills matches=2; description matches=2; certification match=Unknown,0.95,AI-assisted
network security certification,2217,Network Security,3,title matches=2; skills matches=2; description matches=2; certification match=Unknown,0.95,AI-assisted
cloud computing with AWS,52,AWS Cloud Technical Essentials,3,title matches=2; skills matches=3; subject matches=2; description matches=3; certification match=Shareable Certificate,0.95,AI-assisted
cloud computing with AWS,16508,AWS Fundamentals,3,title matches=1; skills matches=3,0.95,AI-assisted
cloud computing with AWS,21875,Cloud Computing Concepts,2,title matches=2,0.93,AI-assisted
cloud computing with AWS,18459,Cloud Computing with IBM Bluemix,3,title matches=3,0.95,AI-assisted
cloud computing with AWS,20896,Cloud Computing and Amazon Web Services (AWS) Fundamentals,3,title matches=3,0.95,AI-assisted
cloud computing with AWS,16915,AWS Fundamentals: Going Cloud-Native,3,title matches=2; skills matches=3,0.95,AI-assisted
cloud computing with AWS,95,Introduction to Cloud Computing,3,title matches=2; skills matches=2; description matches=4,0.95,AI-assisted
cloud computing with AWS,202,AWS Cloud Practitioner Essentials,3,title matches=2; skills matches=3; description matches=4; certification match=Unknown,0.95,AI-assisted
cloud computing with AWS,215,AWS Cloud Technical Essentials,3,title matches=2; skills matches=2; description matches=4,0.95,AI-assisted
cloud computing with AWS,429,Cloud and Application Development Foundations,3,title matches=1; skills matches=2; description matches=4,0.95,AI-assisted
